author,gender,birth_year,age,previous_awards,title,award_year,genre,publisher,winner
P. Djèlí Clark,male,1971,51,debutant,A Master of Djinn,2022,Fantasy,Tordotcom; Orbit UK,1
Arkady Martine,female,1985,37,ex_nominee,A Desolation Called Peace,2022,SF,Tor; Tor UK,0
S. B. Divya,female,1972,50,debutant,Machinehood,2022,SF,Saga,0
Jason Sanford,male,1979,43,debutant,Plague Birds,2022,SF,Apex,0
C. L. Clark,female,1986,36,debutant,The Unbroken,2022,Fantasy,Orbit,0
Martha Wells,female,1964,57,ex_nominee,Network Effect,2021,SF,Tordotcom,1
Rebecca Roanhorse,female,1971,50,ex_nominee,Black Sun,2021,Fantasy,Saga; Solaris,0
N. K. Jemisin,female,1972,49,ex_winner,The City We Became,2021,Fantasy,Orbit,0
Silvia Moreno-Garcia,female,1981,40,ex_nominee,Mexican Gothic,2021,Fantasy,Del Rey; Jo Fletcher,0
C. L. Polk,female,1969,52,ex_nominee,The Midnight Bargain,2021,Fantasy,Erewhon,0
Susanna Clarke,female,1959,62,ex_nominee,Piranesi,2021,Fantasy,Bloomsbury,0
Sarah Pinsker,female,1977,43,debutant,A Song for a New Day,2020,SF,Berkley,1
Tamsyn Muir,female,1985,35,debutant,Gideon the Ninth,2020,SF,Tor.com,0
Silvia Moreno-Garcia,female,1981,39,debutant,Gods of Jade and Shadow,2020,Fantasy,Del Rey,0
Charles E. Gannon,male,1960,60,ex_nominee,Marque of Caine,2020,SF,Baen,0
Arkady Martine,female,1985,35,debutant,A Memory Called Empire,2020,SF,Tor,0
Alix E. Harrow,female,1989,31,debutant,The Ten Thousand Doors of January,2020,Fantasy,Redhook,0
Mary Robinette Kowal,female,1969,50,ex_nominee,The Calculating Stars,2019,SF,Tor,1
Sam J. Miller,male,1979,40,debutant,Blackfish City,2019,SF,Ecco; Orbit UK,0
R. F. Kuang,female,1996,23,debutant,The Poppy War,2019,Fantasy,Harper Voyager,0
Naomi Novik,female,1973,46,ex_winner,Spinning Silver,2019,Fantasy,Del Rey; Macmillan,0
Rebecca Roanhorse,female,1971,48,debutant,Trail of Lightning,2019,Fantasy,Saga,0
C. L. Polk,female,1969,50,debutant,Witchmark,2019,Fantasy,Tor.com,0
N. K. Jemisin,female,1972,46,ex_nominee,The Stone Sky,2018,Fantasy,Orbit,1
Lara Elena Donnelly,female,1990,28,debutant,Amberlough,2018,Fantasy,Tor,0
Annalee Newitz,female,1969,49,debutant,Autonomous,2018,SF,Orbit,0
Fonda Lee,female,1979,39,debutant,Jade City,2018,Fantasy,Orbit,0
Mur Lafferty,female,1973,45,debutant,Six Wakes,2018,SF,Orbit,0
Daryl Gregory,male,1965,53,debutant,Spoonbenders,2018,Fantasy,Knopf,0
Theodora Goss,female,1968,50,debutant,The Strange Case of the Alchemist's Daughter,2018,SF,Saga,0
Charlie Jane Anders,female,1969,48,debutant,All the Birds in the Sky,2017,Fantasy,Tor,1
Mishell Baker,female,1976,41,debutant,Borderline,2017,Fantasy,Saga,0
Nisi Shawl,female,1955,62,debutant,Everfair,2017,SF,Tor,0
Yoon Ha Lee,male,1979,38,debutant,Ninefox Gambit,2017,SF,Solaris,0
N. K. Jemisin,female,1972,45,ex_nominee,The Obelisk Gate,2017,Fantasy,Orbit,0
Naomi Novik,female,1973,43,debutant,Uprooted,2016,Fantasy,Del Rey,1
Ann Leckie,female,1966,50,ex_winner,Ancillary Mercy,2016,SF,Orbit US; Orbit UK,0
Lawrence M. Schoen,male,1959,57,debutant,Barsk: The Elephants' Graveyard,2016,SF,Tor,0
N. K. Jemisin,female,1972,44,ex_nominee,The Fifth Season,2016,Fantasy,Orbit US; Orbit UK,0
Ken Liu,male,1976,40,debutant,The Grace of Kings,2016,Fantasy,Saga,0
Charles E. Gannon,male,1960,56,ex_nominee,Raising Caine,2016,SF,Baen,0
Fran Wilde,female,1972,44,debutant,Updraft,2016,SF,Tor,0
Jeff VanderMeer,male,1968,47,ex_nominee,Annihilation,2015,SF,FSG Originals; Fourth Estate; HarperCollins Canada,1
Ann Leckie,female,1966,49,ex_winner,Ancillary Sword,2015,SF,Orbit,0
Jack McDevitt,male,1935,80,ex_winner,Coming Home,2015,SF,Ace,0
Katherine Addison,female,1974,41,debutant,The Goblin Emperor,2015,Fantasy,Tor,0
Cixin Liu,male,1963,52,debutant,The Three-Body Problem,2015,SF,Tor,0
Charles E. Gannon,male,1960,55,ex_nominee,Trial by Fire,2015,Fantasy,Baen,0
Ann Leckie,female,1966,48,debutant,Ancillary Justice,2014,SF,Orbit,1
Charles E. Gannon,male,1960,54,debutant,Fire with Fire,2014,SF,Baen,0
Helene Wecker,female,1975,39,debutant,The Golem and the Jinni,2014,Fantasy,Harper,0
Nicola Griffith,female,1960,54,ex_winner,Hild,2014,SF,"Farrar, Straus and Giroux",0
Neil Gaiman,male,1960,54,ex_winner,The Ocean at the End of the Lane,2014,Fantasy,Morrow; Headline Review,0
Linda Nagata,female,1960,54,debutant,The Red: First Light,2014,SF,Mythic Island,0
Sofia Samatar,female,1971,43,debutant,A Stranger in Olondria,2014,Fantasy,Small Beer Press,0
Karen Joy Fowler,female,1950,64,ex_nominee,We Are All Completely Beside Ourselves,2014,SF,Marian Wood,0
Kim Stanley Robinson,male,1952,61,ex_winner,2312,2013,SF,Orbit,1
Caitlín R. Kiernan,female,1964,49,debutant,The Drowning Girl,2013,Fantasy,Roc,0
Mary Robinette Kowal,female,1969,44,ex_nominee,Glamour in Glass,2013,Fantasy,Tor,0
Tina Connolly,female,1969,44,debutant,Ironskin,2013,Fantasy,Tor,0
N. K. Jemisin,female,1972,41,ex_nominee,The Killing Moon,2013,Fantasy,Orbit,0
Saladin Ahmed,male,1975,38,debutant,Throne of the Crescent Moon,2013,Fantasy,DAW,0
Jo Walton,female,1964,48,ex_nominee,Among Others,2012,Fantasy,Tor,1
China Miéville,male,1972,40,ex_nominee,Embassytown,2012,SF,Del Rey,0
Jack McDevitt,male,1935,77,ex_winner,Firebird,2012,SF,Ace,0
Kameron Hurley,female,1980,32,debutant,God's War,2012,SF,Night Shade,0
N. K. Jemisin,female,1972,40,ex_nominee,The Kingdom of Gods,2012,Fantasy,Orbit,0
Genevieve Valentine,female,1981,31,debutant,Mechanique: A Tale of the Circus Tresaulti,2012,Fantasy,Prime,0
Connie Willis,female,1945,66,ex_winner,Blackout/All Clear,2011,SF,Spectra,1
Jack McDevitt,male,1935,76,ex_winner,Echo,2011,SF,Ace,0
N. K. Jemisin,female,1972,39,debutant,The Hundred Thousand Kingdoms,2011,Fantasy,Orbit UK; Orbit US,0
M. K. Hobson,female,1969,42,debutant,The Native Star,2011,Fantasy,Spectra,0
Mary Robinette Kowal,female,1969,42,debutant,Shades of Milk and Honey,2011,Fantasy,Tor,0
Nnedi Okorafor,female,1974,37,debutant,Who Fears Death,2011,Fantasy,DAW,0
Paolo Bacigalupi,male,1972,38,debutant,The Windup Girl,2010,SF,Night Shade,1
Cherie Priest,female,1975,35,debutant,Boneshaker,2010,SF,Tor,0
China Miéville,male,1972,38,ex_nominee,The City & the City,2010,SF,Del Rey; Macmillan UK,0
Jeff VanderMeer,male,1968,42,debutant,Finch,2010,Fantasy,Underland,0
Laura Anne Gilman,female,1967,43,debutant,Flesh and Fire,2010,Fantasy,Pocket,0
Christopher Barzak,male,1975,35,debutant,The Love We Share Without Knowing,2010,Fantasy,Bantam,0
Ursula K. Le Guin,female,1929,80,ex_winner,Powers,2009,Fantasy,Harcourt,1
Ian McDonald,male,1960,49,debutant,Brasyl,2009,SF,Pyr,0
Jack McDevitt,male,1935,74,ex_winner,Cauldron,2009,SF,Ace,0
Cory Doctorow,male,1971,38,ex_nominee,Little Brother,2009,SF,Tor,0
Terry Pratchett,male,1948,61,ex_nominee,Making Money,2009,Fantasy,Harper,0
David J. Schwartz,male,1970,39,debutant,Superpowers,2009,Fantasy,Three Rivers,0
